Dates;Returns 87-97;VW mrkt returns
30-Oct-87;-0.5039;-0.2249
30-Nov-87;-0.1587;-0.0729
31-Dec-87;-0.0943;0.0704
29-Jan-88;0.0833;0.0453
29-Feb-88;0.3846;0.0516
31-Mar-88;-0.1806;-0.0171
29-Apr-88;0.0339;0.0110
31-May-88;-0.0984;0.0009
30-Jun-88;0.0545;0.0514
29-Jul-88;0.0345;-0.0072
31-Aug-88;-0.1000;-0.0279
30-Sep-88;0.0000;0.0373
31-Oct-88;0.1111;0.0177
30-Nov-88;-0.1000;-0.0164
30-Dec-88;0.0000;0.0208
31-Jan-89;0.5185;0.0659
28-Feb-89;-0.1585;-0.0164
31-Mar-89;0.0290;0.0216
28-Apr-89;0.1408;0.0485
31-May-89;0.1635;0.0397
30-Jun-89;-0.0638;-0.0050
31-Jul-89;0.5027;0.0777
31-Aug-89;-0.0455;0.0223
29-Sep-89;-0.1111;-0.0018
31-Oct-89;-0.0693;-0.0294
30-Nov-89;-0.0385;0.0179
29-Dec-89;0.1100;0.0183
31-Jan-90;-0.0249;-0.0701
28-Feb-90;0.1296;0.0150
30-Mar-90;0.1148;0.0242
30-Apr-90;-0.1085;-0.0282
31-May-90;0.0413;0.0889
29-Jun-90;-0.0317;-0.0043
31-Jul-90;-0.1046;-0.0094
31-Aug-90;-0.0734;-0.0917
28-Sep-90;-0.0990;-0.0539
31-Oct-90;0.1134;-0.0124
30-Nov-90;-0.0594;0.0660
31-Dec-90;-0.0421;0.0295
31-Jan-91;0.4101;0.0490
28-Feb-91;0.1406;0.0757
28-Mar-91;0.1096;0.0288
30-Apr-91;-0.1030;0.0034
31-May-91;0.2414;0.0406
28-Jun-91;0.1000;-0.0442
31-Jul-91;0.1131;0.0468
30-Aug-91;0.0318;0.0269
30-Sep-91;0.0969;-0.0111
31-Oct-91;0.2148;0.0177
29-Nov-91;-0.1325;-0.0373
31-Dec-91;0.3912;0.1070
31-Jan-92;0.0507;-0.0017
28-Feb-92;0.0431;0.0133
31-Mar-92;0.0414;-0.0237
30-Apr-92;-0.1752;0.0139
29-May-92;0.0132;0.0065
30-Jun-92;-0.1861;-0.0192
31-Jul-92;0.0504;0.0399
31-Aug-92;-0.0863;-0.0208
30-Sep-92;-0.2000;0.0124
30-Oct-92;0.1283;0.0109
30-Nov-92;0.2284;0.0402
31-Dec-92;0.0503;0.0175
29-Jan-93;0.1602;0.0123
26-Feb-93;0.0702;0.0055
31-Mar-93;0.1274;0.0250
30-Apr-93;-0.1007;-0.0255
28-May-93;0.0763;0.0294
30-Jun-93;0.2128;0.0051
30-Jul-93;0.0193;-0.0008
31-Aug-93;0.1336;0.0393
30-Sep-93;0.0494;0.0006
29-Oct-93;0.0051;0.0180
30-Nov-93;-0.0794;-0.0174
31-Dec-93;0.0157;0.0195
31-Jan-94;-0.0866;0.0313
28-Feb-94;-0.0678;-0.0241
31-Mar-94;-0.0227;-0.0457
29-Apr-94;0.0584;0.0098
31-May-94;0.0661;0.0095
30-Jun-94;-0.1818;-0.0274
29-Jul-94;0.0836;0.0304
31-Aug-94;0.1495;0.0428
30-Sep-94;-0.0366;-0.0187
31-Oct-94;0.1965;0.0149
30-Nov-94;-0.0989;-0.0371
30-Dec-94;0.0941;0.0128
31-Jan-95;0.1495;0.0206
28-Feb-95;0.1094;0.0396
31-Mar-95;0.0901;0.0270
28-Apr-95;0.0639;0.0249
31-May-95;0.0219;0.0342
30-Jun-95;0.2536;0.0308
31-Jul-95;0.0531;0.0407
31-Aug-95;0.0108;0.0093
29-Sep-95;0.2440;0.0364
31-Oct-95;-0.2098;-0.0112
30-Nov-95;0.0601;0.0430
29-Dec-95;-0.1701;0.0154
31-Jan-96;0.2504;0.0281
29-Feb-96;0.0149;0.0161
29-Mar-96;0.0147;0.0112
30-Apr-96;-0.0516;0.0251
31-May-96;-0.0102;0.0267
28-Jun-96;0.0103;-0.0077
31-Jul-96;-0.0133;-0.0534
30-Aug-96;0.0363;0.0322
30-Sep-96;-0.0800;0.0530
31-Oct-96;0.0891;0.0139
29-Nov-96;0.2100;0.0657
31-Dec-96;0.0579;-0.0114
31-Jan-97;0.1719;0.0530
28-Feb-97;0.0013;-0.0009
31-Mar-97;-0.1467;-0.0444
30-Apr-97;0.1445;0.0425
30-May-97;0.1106;0.0713
30-Jun-97;-0.0031;0.0442
31-Jul-97;0.1605;0.0763
29-Aug-97;-0.0894;-0.0365
;;
